,ranking,title,poster_url
0,1,The_Wizard_of_Oz_(1939_film),https://upload.wikimedia.org/wikipedia/commons/c/ca/WIZARD_OF_OZ_ORIGINAL_POSTER_1939.jpg
1,2,Citizen_Kane,https://upload.wikimedia.org/wikipedia/en/c/ce/Citizenkane.jpg
2,3,The_Third_Man,https://upload.wikimedia.org/wikipedia/en/2/21/ThirdManUSPoster.jpg
3,4,Get_Out_(film),https://upload.wikimedia.org/wikipedia/en/a/a3/Get_Out_poster.png
4,5,Mad_Max:_Fury_Road,https://upload.wikimedia.org/wikipedia/en/6/6e/Mad_Max_Fury_Road.jpg
5,6,The_Cabinet_of_Dr._Caligari,https://upload.wikimedia.org/wikipedia/commons/5/52/Das_Cabinet_des_Dr._Caligari.JPG
6,7,All_About_Eve,https://upload.wikimedia.org/wikipedia/en/2/22/AllAboutEve.jpeg
7,8,Inside_Out_(2015_film),https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg
8,9,The_Godfather,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
9,10,Metropolis_(1927_film),https://upload.wikimedia.org/wikipedia/en/0/06/Metropolisposter.jpg
10,11,E.T._the_Extra-Terrestrial,https://upload.wikimedia.org/wikipedia/en/6/66/E_t_the_extra_terrestrial_ver3.jpg
11,12,Modern_Times_(film),https://upload.wikimedia.org/wikipedia/commons/3/36/Modern_Times_poster.jpg
12,13,It_Happened_One_Night,https://upload.wikimedia.org/wikipedia/commons/d/dc/It-happened-one-night-poster.jpg
13,14,Singin'_in_the_Rain,https://upload.wikimedia.org/wikipedia/en/f/f9/Singing_in_the_rain_poster.jpg
14,15,Boyhood_(film),https://upload.wikimedia.org/wikipedia/en/a/a6/Boyhood_%282014%29.png
15,16,Casablanca_(film),https://upload.wikimedia.org/wikipedia/commons/b/b3/CasablancaPoster-Gold.jpg
16,17,Moonlight_(2016_film),https://upload.wikimedia.org/wikipedia/en/8/84/Moonlight_%282016_film%29.png
17,18,Psycho_(1960_film),https://upload.wikimedia.org/wikipedia/en/b/b9/Psycho_%281960%29.jpg
18,19,Laura_(1944_film),https://upload.wikimedia.org/wikipedia/en/d/d6/Laura23234.jpg
19,20,Nosferatu,https://upload.wikimedia.org/wikipedia/en/9/92/Nosferatuposter.jpg
20,21,Snow_White_and_the_Seven_Dwarfs_(1937_film),https://upload.wikimedia.org/wikipedia/en/4/49/Snow_White_1937_poster.png
21,22,A_Hard_Day%27s_Night_(film),https://upload.wikimedia.org/wikipedia/en/4/47/A_Hard_Days_night_movieposter.jpg
22,23,La_Grande_Illusion,https://upload.wikimedia.org/wikipedia/en/3/33/GrandeIllusion.jpg
23,24,North_by_Northwest,https://upload.wikimedia.org/wikipedia/commons/8/83/Northbynorthwest1.jpg
24,25,The_Battle_of_Algiers,https://upload.wikimedia.org/wikipedia/en/a/aa/The_Battle_of_Algiers_poster.jpg
25,26,Dunkirk_(2017_film),https://upload.wikimedia.org/wikipedia/en/1/15/Dunkirk_Film_poster.jpg
26,27,The_Maltese_Falcon_(1941_film),https://upload.wikimedia.org/wikipedia/en/9/99/Falconm.JPG
27,28,Repulsion_(film),https://upload.wikimedia.org/wikipedia/en/8/89/Repulsion_%281965_film_poster%29.jpg
28,29,12_Years_a_Slave_(film),https://upload.wikimedia.org/wikipedia/en/5/5c/12_Years_a_Slave_film_poster.jpg
29,30,Gravity_(2013_film),https://upload.wikimedia.org/wikipedia/en/f/f6/Gravity_Poster.jpg
30,31,Sunset_Boulevard_(film),https://upload.wikimedia.org/wikipedia/en/0/0a/SunsetBoulevardfilmposter.jpg
31,32,King_Kong_(1933_film),https://upload.wikimedia.org/wikipedia/commons/f/f3/Kingkongposter.jpg
32,33,Spotlight_(film),https://upload.wikimedia.org/wikipedia/en/f/f3/Spotlight_%28film%29_poster.jpg
33,34,The_Adventures_of_Robin_Hood,https://upload.wikimedia.org/wikipedia/en/2/22/Robin_hood_movieposter.jpg
34,35,Rashomon,https://upload.wikimedia.org/wikipedia/commons/a/a7/Rashomon_poster_2.jpg
35,36,Rear_Window,https://upload.wikimedia.org/wikipedia/commons/b/b3/Rear_Window_film_poster.png
36,37,Selma_(film),https://upload.wikimedia.org/wikipedia/en/8/8f/Selma_poster.jpg
37,38,Taxi_Driver,https://upload.wikimedia.org/wikipedia/commons/8/8d/Taxi_driver_movieposter.jpg
38,39,Toy_Story_3,https://upload.wikimedia.org/wikipedia/en/6/69/Toy_Story_3_poster.jpg
39,40,Argo_(2012_film),https://upload.wikimedia.org/wikipedia/en/e/e1/Argo2012Poster.jpg
